,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,GCGC,Jupyter Notebook
36,homebrew-apple,Ruby
37,HomeKitADK,C
38,indexstore-db,C++
39,learning-compressible-subspaces,Python
40,learning-subspaces,Python
41,llvm-monorepo-root,
42,llvm-project,
43,llvm-project-v5,C++
44,llvm-project-v5-split,C++
45,MaterialX,
46,ml-afv,Python
47,ml-all-pairs,Python
48,ml-ane-transformers,Python
49,ml-aspanformer,Python
50,ml-autofocusformer,Python
51,ml-autofocusformer-segmentation,Python
52,ml-batchquant,Python
53,ml-behavioral-testing-for-mt,
54,ml-calibration,Jupyter Notebook
55,ml-capsules-inverted-attention-routing,Python
56,ml-cifar-10-faster,Python
57,ml-code-switched-speech-translation,Python
58,ml-codeswitching-translations,
59,ml-collegial-ensembles,Python
60,ml-core,Python
61,ml-covid-mobility,R
62,ml-cread,Python
63,ml-cvnets,Python
64,ml-cvpr2019-swd,Python
65,ml-dab,Python
66,ml-data-parameters,Python
67,ml-destseg,Python
68,ml-dms-dataset,Python
69,ml-dprecs,Jupyter Notebook
70,ml-dr,Python
71,ml-duet,Python
72,ml-entropy-reconstruction,Python
73,ml-envmapnet,Python
74,ml-equivariant-neural-rendering,Jupyter Notebook
75,ml-facelit,Python
76,ml-fastvit,Python
77,ml-fct,Python
78,ml-ferret,Python
79,ml-finerecon,Python
80,ml-flair,Jupyter Notebook
81,ml-gaudi,
82,ml-gmpi,Python
83,ml-gsn,Python
84,ml-heart-rate-models,Python
85,ml-hierarchical-confusion-matrix,TypeScript
86,ml-hypersim,Python
87,ml-interspeech2022-phi_rtn,
88,ml-knowledge-conflicts,Python
89,ml-live-pose,
90,ml-mkqa,Python
91,ml-mobileone,Swift
92,ml-multiple-futures-prediction,Python
93,ml-ncg,Python
94,ml-neilf,Python
95,ml-neilfpp,Python
96,ml-neuman,Python
97,ml-no-token-left-behind,Jupyter Notebook
98,ml-nvas3d,Python
99,ml-pointconvformer,Python
100,ml-pointersect,Python
101,ml-probabilistic-attention,Python
102,ml-projunit,Python
103,ml-qrecc,Python
104,ml-quant,Python
105,ml-robust-expert-augmentations,Python
106,ml-sad,Python
107,ml-selfcond,Python
108,ml-shuffling-amplification,Python
109,ml-spatial-librispeech,
110,ml-spin,Python
111,ml-stable-diffusion,Python
112,ml-stuttering-events-dataset,Python
113,ml-symphony,Svelte
114,ml-tract,Python
115,ml-transcript-translation-consistency-ratings,
116,ml-translate-vis,TypeScript
117,ml-tree-dst,Python
118,ml-tune-mode-convbn,Python
119,ml-upscale,Jupyter Notebook
120,ml-uwac,Python
121,ml-vfi-smiff,Python
122,openjdk,Java
123,password-manager-resources,JavaScript
124,sample-backyard-birds,Swift
125,sample-cloudkit-coredatasync,Swift
126,sample-cloudkit-encryption,Swift
127,sample-cloudkit-privatedb,Swift
128,sample-cloudkit-privatedb-sync,Swift
129,sample-cloudkit-queries,Swift
130,sample-cloudkit-sharing,Swift
131,sample-cloudkit-sync-engine,Swift
132,sample-cloudkit-tooling,JavaScript
133,sample-cloudkit-zonesharing,Swift
134,sample-food-truck,Swift
135,servicetalk,Java
136,sourcekit-lsp,Swift
137,swift,C++
138,swift-3-api-guidelines-review,Swift
139,swift-algorithms,Swift
140,swift-argument-parser,Swift
141,swift-asn1,Swift
142,swift-async-algorithms,Swift
143,swift-async-dns-resolver,Swift
144,swift-atomics,Swift
145,swift-book,Markdown
146,swift-cassandra-client,Swift
147,swift-certificates,Swift
148,swift-clang,C++
149,swift-clang-tools-extra,C++
150,swift-cluster-membership,Swift
151,swift-cmake-examples,CMake
152,swift-cmark,C
153,swift-collections,Swift
154,swift-collections-benchmark,Swift
155,swift-community-hosted-continuous-integration,
156,swift-compiler-rt,C
157,swift-corelibs-foundation,Swift
158,swift-corelibs-libdispatch,C
159,swift-corelibs-xctest,Swift
160,swift-crypto,C
161,swift-distributed-actors,Swift
162,swift-distributed-tracing,Swift
163,swift-distributed-tracing-baggage-core,Swift
164,swift-distributed-tracing-extras,Swift
165,swift-docc,Swift
166,swift-docc-plugin,Swift
167,swift-docc-render,JavaScript
168,swift-docc-render-artifact,
169,swift-docc-symbolkit,Swift
170,swift-docker,Dockerfile
171,swift-driver,Swift
172,swift-evolution,Markdown
173,swift-evolution-staging,Swift
174,swift-experimental-string-processing,Swift
175,swift-format,Swift
176,swift-foundation,Swift
177,swift-foundation-icu,C
178,swift-getting-started-cli,Swift
179,swift-getting-started-package-library,Swift
180,swift-http-structured-headers,Swift
181,swift-http-types,Swift
182,swift-installer-scripts,CMake
183,swift-integration-tests,Python
184,swift-internals,HTML
185,swift-issues,
186,swift-libcxx,C++
187,swift-llbuild,C++
188,swift-llbuild2,Swift
189,swift-lldb,C++
190,swift-llvm,LLVM
191,swift-llvm-bindings,Swift
192,swift-lmdb,C
193,swift-log,Swift
194,swift-markdown,Swift
195,swift-metrics,Swift
196,swift-metrics-extras,Swift
197,swift-nio,Swift
198,swift-nio-examples,Swift
199,swift-nio-extras,Swift
200,swift-nio-http2,Swift
201,swift-nio-imap,Swift
202,swift-nio-nghttp2-support,Swift
203,swift-nio-ssh,Swift
204,swift-nio-ssl,C
205,swift-nio-ssl-support,Swift
206,swift-nio-transport-services,Swift
207,swift-nio-zlib-support,Swift
208,swift-numerics,Swift
209,swift-openapi-generator,Swift
210,swift-openapi-runtime,Swift
211,swift-openapi-urlsession,Swift
212,swift-org-website,SCSS
213,swift-package-collection-generator,Swift
214,swift-package-manager,Swift
215,swift-package-registry-compatibility-test-suite,Swift
216,swift-protobuf,Swift
217,swift-protobuf-plugin,
218,swift-protobuf-test-conformance,
219,swift-sample-distributed-actors-transport,Swift
220,swift-sdk-generator,Swift
221,swift-se0270-range-set,Swift
222,swift-se0288-is-power,Swift
223,swift-service-context,Swift
224,swift-service-discovery,Swift
225,swift-source-compat-suite,Python
226,swift-standard-library-preview,Swift
227,swift-statsd-client,Swift
228,swift-stress-tester,Swift
229,swift-syntax,Swift
230,swift-system,Swift
231,swift-testing,Swift
232,swift-tools-support-async,Swift
233,swift-tools-support-core,Swift
234,swift-xcode-playground-support,Swift
235,swiftpm-on-llbuild2,Swift
236,tensorflow_macos,Shell
237,turicreate,C++
238,unityplugins,C#
239,VideoFlashingReduction,Mathematica
240,vqg-multimodal-assistant,Python
